r,e,y,AnnualEmissions,$/Mt,Annual Tax,,,
Atlantis_00A,CO2,2014,18.26533725, $-   , $-   ,Total Tax," $11,326,378,189.66 ",
Atlantis_00A,CO2,2015,18.78344445, $-   , $-   ,,,
Atlantis_00A,CO2,2016,19.46658687, $-   , $-   ,,,
Atlantis_00A,CO2,2017,20.44558364, $-   , $-   ,,,
Atlantis_00A,CO2,2018,20.99435823, $-   , $-   ,,,
Atlantis_00A,CO2,2019,21.24355315, $-   , $-   ,,,
Atlantis_00A,CO2,2020,17.96368965, $-   , $-   ,,,
Atlantis_00A,CO2,2021,21.77801795, $-   , $-   ,,,
Atlantis_00A,CO2,2022,23.15817157, $-   , $-   ,,,
Atlantis_00A,CO2,2023,23.5112563, $-   , $-   ,,,
Atlantis_00A,CO2,2024,24.01677053, $20.00 ," $480,335,410.51 ",,,
Atlantis_00A,CO2,2025,24.55925932, $21.60 ," $530,480,001.23 ",,,
Atlantis_00A,CO2,2026,24.03016729, $22.25 ," $534,671,222.29 ",,,
Atlantis_00A,CO2,2027,23.54033283, $22.92 ," $539,544,428.49 ",,,
Atlantis_00A,CO2,2028,23.1041028, $23.60 ," $545,256,826.09 ",,,
Atlantis_00A,CO2,2029,22.25638832, $24.31 ," $541,052,799.95 ",,,
Atlantis_00A,CO2,2030,21.39148659, $25.04 ," $535,642,824.25 ",,,
Atlantis_00A,CO2,2031,20.71589919, $25.79 ," $534,263,040.10 ",,,
Atlantis_00A,CO2,2032,20, $26.57 ," $531,400,000.00 ",,,
Atlantis_00A,CO2,2033,18, $27.36 ," $492,480,000.00 ",,,
Atlantis_00A,CO2,2034,16, $28.18 ," $450,880,000.00 ",,,
Atlantis_00A,CO2,2035,14.91, $29.03 ," $432,837,300.00 ",,,
Atlantis_00A,CO2,2036,14.59867163, $29.90 ," $436,500,281.73 ",,,
Atlantis_00A,CO2,2037,14.18000414, $30.80 ," $436,744,127.58 ",,,
Atlantis_00A,CO2,2038,13.73047063, $31.72 ," $435,530,528.48 ",,,
Atlantis_00A,CO2,2039,13.24086273, $32.67 ," $432,578,985.34 ",,,
Atlantis_00A,CO2,2040,12.5755113, $33.65 ," $423,165,955.33 ",,,
Atlantis_00A,CO2,2041,11.63723913, $34.66 ," $403,346,708.17 ",,,
Atlantis_00A,CO2,2042,10.92036663, $35.70 ," $389,857,088.67 ",,,
Atlantis_00A,CO2,2043,9.954, $36.77 ," $366,008,580.00 ",,,
Atlantis_00A,CO2,2044,8.715, $37.88 ," $330,124,200.00 ",,,
Atlantis_00A,CO2,2045,7.476, $39.01 ," $291,638,760.00 ",,,
Atlantis_00A,CO2,2046,6.237, $40.18 ," $250,602,660.00 ",,,
Atlantis_00A,CO2,2047,4.998, $41.39 ," $206,867,220.00 ",,,
Atlantis_00A,CO2,2048,3.759, $42.63 ," $160,246,170.00 ",,,
Atlantis_00A,CO2,2049,2.52, $43.91 ," $110,653,200.00 ",,,
Atlantis_00A,CO2,2050,1.695884843, $45.23 ," $76,704,871.45 ",,,
Atlantis_00A,CO2,2051,1.75, $46.58 ," $81,515,000.00 ",,,
Atlantis_00A,CO2,2052,1.75, $47.98 ," $83,965,000.00 ",,,
Atlantis_00A,CO2,2053,1.75, $49.42 ," $86,485,000.00 ",,,
Atlantis_00A,CO2,2054,1.75, $50.00 ," $87,500,000.00 ",,,
Atlantis_00A,CO2,2055,1.75, $50.00 ," $87,500,000.00 ",,,
Atlantis_00A,CH4,2014,0.014961111,,0,,,
Atlantis_00A,CH4,2015,0.014991393,,0,,,
Atlantis_00A,CH4,2016,0.014991393,,0,,,
Atlantis_00A,CH4,2017,0.018776654,,0,,,
Atlantis_00A,CH4,2018,0.02016963,,0,,,
Atlantis_00A,CH4,2019,0.022195501,,0,,,
Atlantis_00A,CH4,2020,0.022195501,,0,,,
Atlantis_00A,CH4,2021,0.022195501,,0,,,
Atlantis_00A,CH4,2022,0.022195501,,0,,,
Atlantis_00A,CH4,2023,0.022195501,,0,,,
Atlantis_00A,CH4,2024,0.022195501,,0,,,
Atlantis_00A,CH4,2025,0.022195501,,0,,,
Atlantis_00A,CH4,2026,0.022195501,,0,,,
Atlantis_00A,CH4,2027,0.022195501,,0,,,
Atlantis_00A,CH4,2028,0.022195501,,0,,,
Atlantis_00A,CH4,2029,0.022195501,,0,,,
Atlantis_00A,CH4,2030,0.022195501,,0,,,
Atlantis_00A,CH4,2031,0.039442777,,0,,,
Atlantis_00A,CH4,2032,0.055547713,,0,,,
Atlantis_00A,CH4,2033,0.096034566,,0,,,
Atlantis_00A,CH4,2034,0.057065234,,0,,,
Atlantis_00A,CH4,2035,0.077468681,,0,,,
Atlantis_00A,CH4,2036,0.092983669,,0,,,
Atlantis_00A,CH4,2037,0.104655338,,0,,,
Atlantis_00A,CH4,2038,0.115611647,,0,,,
Atlantis_00A,CH4,2039,0.125683169,,0,,,
Atlantis_00A,CH4,2040,0.142026901,,0,,,
Atlantis_00A,CH4,2041,0.164977651,,0,,,
Atlantis_00A,CH4,2042,0.17882323,,0,,,
Atlantis_00A,CH4,2043,0.182210818,,0,,,
Atlantis_00A,CH4,2044,0.182669139,,0,,,
Atlantis_00A,CH4,2045,0.170442505,,0,,,
Atlantis_00A,CH4,2046,0.158317759,,0,,,
Atlantis_00A,CH4,2047,0.146220238,,0,,,
Atlantis_00A,CH4,2048,0.134847621,,0,,,
Atlantis_00A,CH4,2049,0.117495507,,0,,,
Atlantis_00A,CH4,2050,0.12274309,,0,,,
Atlantis_00A,CH4,2051,0.125517758,,0,,,
Atlantis_00A,CH4,2052,0.12414167,,0,,,
Atlantis_00A,CH4,2053,0.124122894,,0,,,
Atlantis_00A,CH4,2054,0.124408758,,0,,,
Atlantis_00A,CH4,2055,0.124307563,,0,,,